,strategy,dataset,hop,executors,links,time
264,AA,arxiv,2,8,50000,12735.700464248657
265,AA,facebook,2,8,10,49.10309028625488
266,AA,arxiv,1,12,25000,28.280961513519287
267,AA,arxiv,2,8,25000,6803.57718706131
268,AA,facebook,2,12,25000,2651.092966079712
269,AB,yeast,1,4,10,19.990708589553833
270,AA,facebook,1,12,100,14.540885210037231
271,AA,PB,2,12,500,82.77577233314514
272,AB,PB,1,8,500,668.7345116138458
273,AB,facebook,1,12,1000,1692.5887684822083
274,AB,PB,1,8,100,529.9016809463501
275,AA,facebook,1,12,500,16.53473472595215
276,AA,PB,2,12,100,75.92503619194031
277,AA,arxiv,2,12,5000,888.7419958114624
278,AB,yeast,1,8,10,19.898268461227417
279,AA,facebook,1,4,25000,270.35369849205017
280,AA,yeast,1,8,10,2.522616147994995
281,AA,PB,1,4,10,3.059234619140625
282,AA,facebook,1,4,50000,525.0534772872925
283,AB,yeast,1,4,100,251.0113046169281
284,AB,PB,1,12,1000,644.6714866161346
285,AB,PB,1,12,100,527.7516703605652
286,AA,PB,1,12,500,8.846507787704468
287,AA,facebook,2,12,100,245.26521062850952
288,SEAL,facebook,2,1,100,368.30022382736206
289,SEAL,yeast,2,1,100,6.381701946258545
290,SEAL,yeast,2,1,500,32.874533891677856
291,SEAL,USAir,2,1,1000,93.88645815846999
292,SEAL,facebook,2,1,500,1728.6901140213013
293,SEAL,PB,1,1,10,0.4105379581451416
294,SEAL,yeast,1,1,10,0.1554398536682129
295,SEAL,PB,2,1,500,537.7489590644836
296,SEAL,PB,1,1,1000,35.96813893318176
297,SEAL,USAir,1,1,10,0.23658418655395508
298,SEAL,PB,2,1,100,111.99319696426392
299,SEAL,USAir,1,1,500,5.191449880599976
300,SEAL,facebook,2,1,10,40.88729214668274
301,SEAL,arxiv,1,1,5000,150.5605070590973
302,SEAL,facebook,2,1,1000,3665.622626066208
303,SEAL,USAir,1,1,100,1.284938097000122
304,SEAL,arxiv,2,1,10,61.39810824394226
305,SEAL,arxiv,1,1,1000,28.607905864715576
306,SEAL,yeast,2,1,1000,63.27903890609741
307,SEAL,arxiv,1,1,500,16.35371208190918
308,SEAL,arxiv,1,1,100,3.713414192199707
309,SEAL,USAir,2,1,10,1.1513111591339111
310,SEAL,USAir,2,1,500,36.25355100631714
311,SEAL,yeast,1,1,1000,8.938863039016724
312,SEAL,facebook,1,1,50000,2668.603626012802
313,SEAL,USAir,2,1,100,9.557117223739624
314,SEAL,facebook,1,1,25000,2072.0304720401764
315,SEAL,arxiv,2,1,500,3975.152276992798
316,SEAL,facebook,1,1,10000,1048.0981361865997
317,SEAL,yeast,2,1,10,0.48924779891967773
318,SEAL,facebook,1,1,5000,563.4894688129425
319,SEAL,PB,2,1,10,11.954941272735596
320,SEAL,arxiv,2,1,1000,7415.428482055664
321,SEAL,facebook,1,1,1000,115.29794383049011
322,SEAL,arxiv,2,1,100,759.8794989585876
323,SEAL,arxiv,1,1,50000,1251.2683310508728
324,SEAL,PB,2,1,1000,1077.9124739170074
325,SEAL,yeast,1,1,100,1.136296033859253
326,SEAL,facebook,1,1,100,11.875646114349365
327,SEAL,arxiv,1,1,25000,666.2590191364288
328,SEAL,facebook,1,1,500,52.354872703552246
329,SEAL,yeast,1,1,500,4.916216135025024
330,SEAL,arxiv,1,1,10,0.3392608165740967
331,SEAL,PB,1,1,500,18.57857370376587
332,SEAL,PB,1,1,100,3.8238580226898193
333,SEAL,USAir,1,1,1000,7.778830051422119
334,SEAL,arxiv,1,1,10000,290.6602282524109
335,SEAL,facebook,1,1,10,1.1457130908966064
